COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
BC,Female,115,91,92.75,298.75,CFD8DFBC941F3F25E2FD9C27B8DC27B6,2C631BC8FDB04E9796C2BC6FFC45B9A8
BC,Male,116.75,94.75,101.25,312.75,76741550DE53812ED11A48F8D9F43C97,DA955B72B4978B88E6BF0F81D6BFCA3F
BCM,Female,117.75,122.75,113.5,354,25A450908418543A167DA8FB7569EB56,28A2939EBA771BF92774E2BF8542D358
MBC/DC,Female,136,110.25,98.25,344.5,396951227B61D9CE3E0158358EE21A8C,0B681F26B96CCABD3B315F1495C09C22
SC,Female,115.5,127,134.25,376.75,2EB520A40ADE18DA224784B816CD8B5F,B2B87B6CA117C48F7F48605E31ECD8E6
BC,Male,128.75,98.5,109.75,337,F161CA83E2D4AD077AB9F78134F9B835,96DF5A0D4C8BEC48AA80F800161CCEFC
BC,Female,129.5,95.5,99.75,324.75,721CD2AD0007D67E317E67E3F5D6E24F,6F76B898157CB97B9D88AFC7CC736B75
SC,Male,131.75,123,113,367.75,4FC761DC177E3CD22B219D462DF4C4E7,47D2543D62E2BC40CCA5123EC265CBAF
SC,Male,80.75,62,35.5,178.25,A6C0ED0B71F636A788271F5346B9B788,599893B02C58441F989C669AFF821DDD
MBC/DC,Female,123.5,78,111.75,313.25,2EA8EDAFF24F151322053DA87BAE4F24,EE4C920C61A99E498BD1D90D7EA1D04E
SC,Female,62.75,64.5,70.75,198,E6D0BC7E36DD965FB9E23FB8ED9174FB,2C70F8699D46E6FBD7A07A29435DF19B
BC,Female,123.5,108,72.5,304,40F92D05A3D047B88DAFEE47C356B46C,CB82B47F2EBF1E877FDFFEA1DCD1B3F3
BCM,Female,112.25,115.25,105.75,333.25,FD8B48B38EEA8666905825C9F7E93FAE,576147EF51D7761DC1D6103E28587C61
BC,Male,128.5,110.75,122.5,361.75,540A3686BF48D6DF87814A714EB7BDE3,A9D17A01BA4BD7A1C5E8B3B81A01A3B7
BC,Male,153.75,124,105.25,383,EAD28C5FEF43ED7BEF5496C72F66D916,AF358C8045488F9BEA5DF9A05270A05B
SC,Male,85.75,103.75,80.5,270,08B0DD300C746FBE9ABD4E196472EF64,86AFCC394185DFBD481C6268071DD5F4
BC,Male,137,100.25,97,334.25,70EE4064045522EF48296EFC33D7E830,E1A28D6A6E0E9AF5A603693D5010691A
BC,Female,126,98.25,103.25,327.5,BAA460F7FDDD0A9CA8671D2D12DC144C,8BE0916C74C06E890BB8D9D6DB04CC23
BC,Male,133.25,107,103.75,344,4A58C32BBCB83075AF35B884E8FF12C8,DD89527204C395EDC767EE319405D412
MBC/DC,Male,42,43.25,,85.25,28F7BCF20939A1C47DAF53E1605712F8,3E8FC6225D91F4A8FB0FA8D4690C4FAA
MBC/DC,Male,122.75,91.5,93.75,308,046E3AB5AF285E9EFE42C15902F4A544,A2870173C688C5CE652397509F05BAA8
MBC/DC,Female,142.25,108.75,118.25,369.25,4F644BF57E8E67F8E4E61B47C7975804,B0999A9A4E36E3312C9AD0E2506D45FB
MBC/DC,Female,125.75,105,98.75,329.5,6F41EDD9FCEF58DAA69C4436E1D9AA42,BD558F55061FEC617C12182F8DDFCEF4
BC,Male,150.5,97.25,95.25,343,3BB84B426EC5847DB085CF82C8F89147,282DACD1D3971C9C4DEC91696B2DD6F7
BC,Male,173.5,131,138.5,443,5969F5E861101B076B27B82C48C5D89D,150662B5997ADAC61726389C641DE5D2
BC,FEMALE,158.75,130.75,125.5,415,26807D0CA98B55D30549137FE5190F9F,328F37D2A175063F9CD54269A3B01D5B
BC,Female,113.5,80,75,268.5,4222CB54553EB602C3F673DFE3594BB4,1506B312DE5EF1389630A9A05282B1C1
SC,Male,96.5,71.75,73.25,241.5,C0A0A0B5B2FF0E2E6614D0BBBA7BED35,66E2FEFA1C84DE11087761D95B5BDEE9
BCM,Male,108,59,,167,7780ED40EEF32B77C0D44E572DD6A700,72766123D145BE73AE00141DB4D055AF
SC,Female,111.5,84.75,92.75,289,454949E195BD1F13328C69048A946614,4BA1CE8738366C218059B61681B5B49C
BC,Male,103.5,82,95.5,281,BFE75273109B3B8321A375733591CDEA,37B493721D0AC7EBFB384D1C9D82BFF4
BC,MALE,155.25,113.25,111,379.5,3C2E123FEA3D2399905D854580FAB2F9,7C31C35922CE16099E371D94A8A9275C
BC,Female,89.75,89.25,79.5,258.5,E36064401EE40261C4FD14A4B27D357B,9D3B07D5661303FBDC3A01B1DC1BE2B5
BC,Male,81,85,89.25,255.25,E1526F989525139A0F80FE4EAAE16166,9079E09ED161C55EB50A8263586BCCB9
MBC/DC,Female,119.75,110,120,349.75,924D52915F9E370B09E6EE1A2C1FCD5A,386BBD8DD1738AB1E5281578EA001A4E
BC,Male,126,111.5,128,365.5,A4C432C2314E658E5178547CD3E61BE4,FBCDF1C228C58565F1DB9A1A270905CF
BC,Female,148.75,114.75,115.25,378.75,58EBA785B30AF52213910343A5DC9442,02E1AC84CA7F1D7F2F099DF72BBB0F0B
SC,Female,105,81,,186,904057FE407649ADC9C4B25C8B30C094,32AB0BC98507BA9F6553494DB53F5DA9
SC,Male,118.75,86.75,113,318.5,D0185B1FC47095E3C763C1620E0F16D8,3D4DD9C7BE18138033F07B18D727533F
MBC/DC,Male,148,134.25,118.25,400.5,42B0F1BC5FE28E388BC152FA67280FC9,D34C3BA90B2E1A8A47FFEF905E503078
BC,Male,102.75,111.25,122,336,74FB811136337FF5C2D1A39AB8080B9F,F37E310A2E6D1D75DFF0849B79668256
BC,Male,87,85.5,89.75,262.25,B81FA85637F97D0A370E5510145F1954,A36B6A4FB8FD4A03FDC76E4438924652
BC,Male,111.5,66.5,59.5,237.5,18AAEDE598115B5AFC05F7CC0318E26D,FF62376F6F2B3A7234577CE245F7F1B2
BCM,FEMALE,114.25,98.25,103.5,316,D641B4BDE56327D62CD78CC05A63EAA6,8CFC7777DA980E93B446CC01CE754AD1
SC,MALE,90,,,90,D7AA68349591EF931C65863F45E02AA5,76444123D1ECD5E982C6506BADE74613
BC,Female,142.25,124,128.75,395,7116B91B24EAC756505A467EB2D2F9B7,6925D8C3F31667742B3E7C48379B90D9
BC,MALE,71,87.75,63.5,222.25,EB55757B3AC50A5BFD0E1705B04B6A43,9F7317A6AB73D25796A567795C84A1DD
BC,Female,159,116.75,126.25,402,103A583AB9881967E01D35BE83A22407,75E928455AAE74D6C9FD929550A7D9DD
BC,FEMALE,122.75,102,109,333.75,6FF5B8AABBE1924BAEF7CCA760822401,29B8D323338076E997107F5F17BBD397
BC,Male,133.75,111.75,98.25,343.75,44AB990C8ED1D0932908D341BBCE66D1,D3F6B8FDFAA7979545F1DBACF579B06B
BC,MALE,152,133,126.75,411.75,4F4F09A6834CCFE20CF5836839B808FA,69EDAE61171B798AD3168CA6D2AE09D1
BC,Female,131.75,117,103.75,352.5,69C7AC2969C6535B75EE9F64B3CE1AD0,75B37DE96DE70AC893B0896E4C17B894
MBC/DC,Male,107.75,77.5,65.75,251,D771F500574121AAAD8A42F6527F837E,39E82BEB66E905924EC163B987913E2D
BC,FEMALE,112,105.75,93.25,311,22DF3C3D4C42D172DE838FF09117C51F,0C02D7DF6DF359930BEB3C74E08685E4
OTHERS,MALE,151.75,135.75,136.25,423.75,AC3C4AC3C74D761DB9C2DD9A9CCC4E66,6AE0519F77EEE2CC2080414E4E92A181
BC,MALE,100.5,78.25,108.5,287.25,B5F7479DD23D76783E7F5EAC79716CDC,3B5586904C181B2D3BE9000D5AD77846
MBC/DC,Female,132,114,118,364,ACA5BF63F9A2E1DCD820FF0BA050FC30,08C47662C4D2C87E395B01A0663749D5
BC,Female,177,137.75,150,464.75,A363097EC46C45320251529997EA9E0E,7D01C5C45A457E42AD5544BCAD14C058
BC,Male,132.25,143.5,121.75,397.5,8D499982CB22F5081EE17666F8F4E8C7,C3384755AECD3B417A9D2FEAC98BEAD0
MBC/DC,Female,129.25,93.75,93,316,9C3FB8755B40CD7445F449D600E70A72,30EEB4B75B8013C30420C87249F0D394
BC,Female,143.75,125.75,122.5,392,8394D9CEA118B84045C05801AE47A241,27E6AC248A524D7FC69801EE73E1EED4
BC,MALE,97.5,71,51.75,220.25,D17EF84C78B8BE1CE446870F5C3700BF,4F837C512BA69AB7BEF4C9D1DDA75F1F
SC,Male,122.25,128,119,369.25,5D6549129100E9E62A920D543A32A613,297E47111CC3AAD82E28CA7C74301699
BC,Male,152,139,132.25,423.25,AB3D7A55E545067F9548833A4E0CBECB,70A673DB02BABEA730130587354BE9AC
MBC/DC,Female,115,102,101.75,318.75,3A1DCEA2DA6556C3DFC84D52AA75D4DA,2EDFA9A6577D0DB8E0B57D5C6648F7EE
BC,FEMALE,157,124.5,136.5,418,68C66702470294D12F4091B7A2E544A0,4E2930890243B1D9852C27E8A50583E3
SC,Female,144,110.75,110.25,365,1FF5ABC5FB3B111ECD7613AA0C3552CE,A6E56903F56D92F523CE457F1C8153DB
SC,Male,148,112.5,101.5,362,4F603BFE85662238DA11FCC07E35B7CD,6D8B9FCDF7706D039A86343B1A082998
SC,Male,121.75,91.5,106,319.25,DB85D65CE7BB77582E15A51682797DF4,18728BE218A3529B4A773A03109DC02A
SC,Male,100.25,86.5,74.75,261.5,CAEEA3173CCB2D85695C46943B84B915,6AB1C4F89834C36842E2F3D6E6DF7006
BCM,Female,136,94,104.25,334.25,ACB9A4D4FAF6A68C560293F89A4EEE0F,3DFB22C06CDE01AF4066AED1F346E0D4
BC,Male,58.5,46.25,53,157.75,3198751BC9047466C07AD3DA3056B716,CAF8D184CC1561FBE865460BB9A3F685
BC,Female,136,105.5,106.5,348,4293F55E818FC1968BA9001DDC3B3337,B56A395864532BBB6175AA81AF7C8C7A
SC,Male,148.5,137,135.5,421,EEEA5E791E4E13B15E319C9B7B211B0A,A0D09AF419298344FC010FB93E3D24AF
BC,Male,101.75,90.5,99.5,291.75,E19176329975DBFDFE4255A7A3E3072A,A101D4D89C0FD5BF7D756C1693F3BD0C
MBC/DC,Female,109.5,111.5,79.5,300.5,E0B8D2C06F95A09D3515793F7CD3A558,74DA16B278BC9F473E18EDC7D97AADAA
BC,Male,125.25,90.25,84.75,300.25,0BF642FFC75316767C218D50A049E9C9,90B506C9F85989E89B792BEFE82821A9
BC,Female,133.25,95.5,112,340.75,1A7263B0BCC5C6A0E21B35464D1E72C8,D943D7E0ADC1C97ECA6634C29C066A4F
BC,Male,107.5,75.75,93.5,276.75,1DA158C498C46BF9DCE36DFE0DF7E822,279806F20BBDB432921174E8BC2D585B
BC,Female,127.5,101,83.75,312.25,59D45FFACC0ED1E5111C1F8D9EBA9471,57F4C716891C4A3CADBBE5A537DD69C6
MBC/DC,Male,152.25,144.25,112,408.5,2CE4765D5676A4F09F82870AB56A9A0F,86FD6A4A2CE62DC82CC507739705F1B5
MBC/DC,Male,146.5,114,132.75,393.25,36DD50FE300A6D4730D8DA83F877A40D,09A58C2ED6E43B1F0E7B153FEE9D752C
BC,Female,112.25,82.5,75.5,270.25,641EA0C19479BFC23E9B95D987A0015D,620EF900418621626EFB191EFA38BBED
BC,Female,125.75,97.75,104.75,328.25,68BEEF44D8999B153A20EBFDAAACC4B4,9523BC55B95ECF16BBEAD8BD1B004B2A
BC,Female,98.25,102.75,105,306,3EEEBEDF0A0702A57607550145F3BED7,BC9CC62CC3C787E91BA44489F59CF92B
BC,Male,124.25,99.25,120.25,343.75,C0D931F87ACAE3B999E3F6C61E249964,270CFBE4213A8DE0DBB185528E3D2881
BC,Female,103.25,83.75,74.5,261.5,23EA4E20360F3367F2C3B1CDEE5A6758,2BFCB40E174298862B673F6F54D27024
MBC/DC,Male,115.75,94.25,113.5,323.5,6D5345B1FA1A6C9417A2F0CA34755ACC,9CF4BE8E4A6B5DFAFD3DB2D75745C1CF
BC,Male,114.75,90.75,100.25,305.75,2EFD8AE83C71E59AFF32A500ED865A33,73274D013D0E449645328098D461F6C5
BC,Female,149.5,97,106.75,353.25,CC0BFEABCA89ECAF56BE88128326B140,BE35225F9D70BC5E9D74DE7C6B4742A4
BC,Male,84.5,49.5,48.5,182.5,86C62CFFF1F11363B4913169B24E08DF,7F56723EB5BABA44BCECCBD1C4BE4ABD
BC,Male,130.25,124.5,96.5,351.25,57331D843DC25447CF956463470BA12D,6629747E296F7A8311237FB1A792B8A7
BC,Female,146.5,122.75,113.25,382.5,762318A63B1C6D0D08A1D3F080FA4C86,D720CCED49F03D02D32D327F19785D51
BC,FEMALE,85,64.75,61.25,211,9A1734BE8ACD8D706A47E64AFB692539,8207DB68CCBE0366D17AB5D827129C38
BC,Female,132.5,135,106.75,374.25,5EA5801F771A91AD53737CAAA121F187,65673CC86F7A7EF18BAA665AFD6AB9AB
SC,Male,110,106.25,94,310.25,17759EAC9FDC9E9C6E6B05932175D3C9,F6D613DD242D552C6B747F76C4DE2F26
BC,Male,143,105.5,107.25,355.75,C43F2F9E5624F71F60AFC24F412FF617,2AEAC7A2CD51CBDA6D95B7B8A230D50F
BC,Male,136.5,125.25,130.5,392.25,4EB304DB006E64E6D4D7179D7DFCC344,540025036A4F3AFD0A42D479A3DCC56A
MBC/DC,FEMALE,115.75,105,114.25,335,E13EDB55825AFB529181923A56E20608,B7EC2D2326B40E473CD9389EB8762A40
SC,Female,118,107,103.25,328.25,E534219F4161AD1FE5E217BA583763E5,70A9B1AE9353F7242489D834C93BF240
MBC/DC,Male,155,127.5,133.25,415.75,0EDBD01F5A84EEF4902B845C91ED716C,54BC68E510B94D3B1A421A4A5478EC21
BC,Male,124.5,83.25,92,299.75,AF14138C08E07F0E9CF1A74AB827A211,1BCE43AEF91D1A33810FC15B453D69EE
MBC/DC,Female,129,119,118.25,366.25,189629E69572C459569949D573A24A09,49149BC2CC9CD744DCBACC2337CF9E2B
MBC/DC,Female,68.5,74,67.25,209.75,35F9CCC3359AAC58F142D5C05F6B1DAA,70F43EB257ADABB933ED42E0FE01501A
MBC/DC,Male,93.5,56.5,71,221,AD6DFA6E4F686572DEDC6553FD23038E,05903CF1A1A25A54D6680DA8EDC1DB88
MBC/DC,Female,129,111,120.75,360.75,8D29642D819BA6FE286A23F225F3DA03,DC696DB68FA22A55595474995FF976D8
BCM,Female,133,122.5,113.25,368.75,82595A7314E6FFF3A966B0BF29A5B829,41EE0711D6AA162D82E2DC759F004C2B
MBC/DC,Male,134.75,135.5,115.25,385.5,5BC7DA8A5FD1392ACDD48501A734B363,DF95C411B9DF68ECBE17E8B4649B2F55
SC,Male,110.75,95,99.5,305.25,50EE136ABF609A6831635E4616624D23,84ECD6C584300194A1328139A37BA1E9
MBC/DC,Male,100.75,91.25,74.25,266.25,0A1ABC0F8FDA34FB8B8A3861426A0A9D,EC69A641A8EF6764F144AFD2B9EE747B
MBC/DC,Female,136.75,103.75,111.25,351.75,20E326FCE33C80A0986285C89FC6E2CC,A1C778092CABDF600DCFCDA58430C52F
MBC/DC,Male,115.5,98,94.25,307.75,6D4D732C20BC6160CF8DB9BAAF8FC96F,6C827AECDB030AF3253954A3987E3DBF
MBC/DC,Male,103.75,96,85.25,285,A902CD188AE5CF3996BEFC223970E5A1,1F5786CE9B67CC4697893CCBF3EFD93F
SC,Female,135.25,96,96.25,327.5,381C72D5A58246B08802B42668770224,77482ADE0D2ABBC3C4F77F6814DF91FC
SC,Male,148.25,109,125,382.25,CD5B0801F8ECA9712E9B63C424946CC3,DA4E82517799B324D44736B517468C35
BC,Female,121,122.5,123.5,367,546BA30FC5C4F9E6F77BC623025108EF,277A9C0A2C2EC16FB7D22AFFB6CAF919
BC,MALE,102,87.75,74,263.75,5A4450567CDF53AECAA23009F29140D3,F98A08F9D9D155844978FD9BA5D08D7B
BC,Male,123.75,96.75,100,320.5,3E750E481CD15F406AB80CD808C13C1F,630AAB70A7308F220343D08BE4A07CD8
SC,FEMALE,104,62.5,64.75,231.25,4F78118481C8914B33A2E8B7CE1FCC22,1A710B804BAA5BCD3B2A07C19789A134
BC,Female,133.5,122.5,124.25,380.25,8D12A8BB1C4DCEB017B56865DC393172,8E808C3872D97F82F8B185FB1C51B810
SC,Female,130.25,107.75,96.25,334.25,29C792563D6A3D9A511EB281E93436F3,4CFF64371A74463CC8A1A4601046CF67
SC,Female,115.5,94.25,101.75,311.5,E53B0F0E3E37B4328EDD2210B4FAA384,D81274163C4CC97FFD7CB47A5A7AD2D3
SC,Female,101.75,117,91.75,310.5,2EF690B1926FD10E4437467B9F3364BC,F4181C1F7AEA3305B9809DE583B4E971
BC,Male,83,51,53,187,A577E9EF2818C1F178FCA0969D3CB20A,ECDA6DA1BBB227492C025819752A3070
BC,Male,69,25,23.25,117.25,D019B10B2F8F779429C35CE1D0E5E7FA,CAE7787021D2387843D7E1D4CEB63DBC
BCM,Female,120.5,76.75,89,286.25,C0A832B562ADB32EF224314B6ACD3236,56FD3F57CD168855B8A18B2FF9A798C9
SC,Male,108.25,56.25,53.5,218,10F9BFAD9F9858D5EA50B86D214BCF67,4F0248DB5986F3A2F1C2F7A244AFEB5F
SC,FEMALE,60.25,67,79,206.25,D8CD398EB5D69F23C901472A62ADF255,66AF1DD356BDDB9263B057C0A143A016
SC,Male,92.75,88,69.25,250,E1D00541C66EF3ACED6DE94EF29094FD,E1F7410F87263B5B9497072BD52A79BF
BC,Male,124.75,104.5,98.5,327.75,BDAF37517DEE116AC6D0C8ACFBE7DB91,567176960874114565C50E9CA8A0D440
SCA,Female,71.5,49.25,,120.75,12D2B369E69275EF638910BBE0BB8F3B,22675FC01B3FD0539BDF45527E76DC27
BC,Male,150.25,137.25,118.25,405.75,2F4B3D38D688E83252DFE28EC431AF6F,EAE4EFB905A64F4C4CA0B657BF4DC228
BC,Female,109.75,91.5,92,293.25,DFBCA84C2B14295A89D3CAD344E0D246,0126FB8E808F9184615A5CBEB7663FC7
BC,Female,123.25,87.5,107.5,318.25,DCB608E33396BAE2CF7BE18357950309,479466859A650AF97CC04E0970C7329A
BC,Male,116,95.25,89.5,300.75,FE818B8295ACEDE9D26BE64437BF875A,BDFDD573AC6ABB2C06BD81663D0B8041
BC,Male,115.25,110.75,99.75,325.75,638A5B58B6F3A216E00577E82E2BCE90,EC466EA4041085C02005C8C9AB7614D8
BC,Female,117.75,78.75,66,262.5,DE5E57F56938DE2F02B1167B36074EDB,7B9B88F07A75D671D733121AD5C47250
SCA,MALE,151.25,108,115.5,374.75,92BF3D34E35230BA3EC7A686B6ECECBB,6837CD17551F00C7BC1FF9EC382F89CA
SC,Female,98.75,95.5,88.25,282.5,8119A39BEA59DEC122CE792EF05C4BD7,3B42B7D3A1F5D4C13CE4920D423B9856
BCM,Male,78.5,77,55.25,210.75,4522724D8A837ABF382E595DE9CB85F7,EE53F3A0AB185D5EEA0B4D36BEE86E3A
SC,Male,118.75,107,91.25,317,C440843C7249A20B0A159E773F22E028,9A22AD2DE839F7E94C1F7CD0D84F4AE2
BC,Female,149.5,116.5,115.25,381.25,E9A94A24FCCECBDF2F99EF258EAFBE57,A3DAE3B085568C36247C22FFB2A9AE92
MBC/DC,MALE,94.75,61.75,53.5,210,733A5C4AB1C7CDB0318CC546B92CCBB0,0F4619FCFE530171FD9EB73162F164FE
SC,Male,122.25,98.75,93,314,27A6CBEB1A4BEE734CDCDFE6EE89508C,518B22B113E8BE79FBDF277E952861D0
BC,Female,130.5,108,104.25,342.75,1EF7778EC057A5CA84C052C6731D612D,3507E3D9E316AAB30D7D165930945A6B
SC,Male,64.75,51.5,57,173.25,93A1DA7F990EC0FAC9E2A0DBFDC4D2C6,0399664973D9D9221822407F862B812F
BC,Female,120.5,123.25,116,359.75,FF50AB935E4379A6F1884D688F49E599,28830FD6BE6775680DCFB8ACFF1B837C
BC,Female,100.75,75.75,91.75,268.25,D949BD684B06F1006A7CC8DE24C7B957,93F23CFCB56954D8F81C811077846AF1
SC,Female,127.5,103.5,108,339,9A06607C75EF9991013E89BEA320DAF0,48346E905CA0CCEE48857CF147BECDFE
MBC/DC,Male,158.25,135,132.5,425.75,C029BF608C2D848969FF565E27115386,AD6EC164D2D7A29B4EE65FAAD2C7D5CF
BC,Male,130.25,113.75,106.5,350.5,95E83B487E60CD61A69E75ECACD8FBEA,E7925D0F572E3D529551BF853D788CDE
BC,Male,75.25,71.5,60.5,207.25,2B8AE9FAAB2AC4D5456DCA06F25DF9B9,183CBBDEE597AEE04F12E94CA50BEB23
BC,Female,95,109.25,84.5,288.75,C0B045F256A22760A5287DFDA28AA33F,60F57E423F9E8F8D34B9982DB6E513F5
SC,Female,149.75,112,105.25,367,E376DCBA172CA3CC812B6365A157DF12,52491AB9B4AEE8E4C6A518464870EF30
MBC/DC,Female,89,93.75,85,267.75,E05F0488C467F5FFA4DEBF202B051961,B5FC8173902F1B15B3473B043FDD95FB
BC,Female,126,114.25,120.75,361,4BA389969660F3323B46AD850E886595,99491DD2D6A5D313118D5D571D836814
MBC/DC,Female,100.5,78.75,86.25,265.5,232DD634D99568206EC9080F9A97840C,C5F3B97359630C2431819B13E1F083FC
MBC/DC,Male,138.5,123,109.25,370.75,BCE25C7F068912BE82F27D807F50DEDF,5BF839A2BE4291B472247CBD8988046E
BC,Female,85.5,94.75,83.75,264,D4CC887EECE1CC01FF90FFAF5C4806DF,F43A4F418179ED97D571F865848E30CF
BC,Male,98,74,58.25,230.25,1568F8F37EDB957FF0C78E090FB41E85,AF00336B599C7740740F2FBDE4C01840
BC,Female,132.75,108.75,77.75,319.25,F2A2A754CF84D96503889DCC8A9A9D02,1780F45AF25166704728B22D527E17E9
SC,Male,110.5,105.25,101,316.75,5C2D55D08877E936CFB17E3D89C8404E,2A40EFBE5800DBEE26135BA8CCAB115B
SC,Male,115.75,88.5,108.5,312.75,F6DAED46C60DB66EE6B40B1A43FA8C89,C558AF949A486950FEA1132A8F9CA773
MBC/DC,Male,126.25,87.25,75.5,289,F6F6F24943402916C031D9AEA950888F,CDBB44267A7C0D4A0E8BE46BF25E8945
MBC/DC,Female,119.75,100.5,93.75,314,0ED7058080F3AC27967CA6CFC7C998FD,573074223036384C82B203B8A60B90BE
SC,Male,73,96,75,244,39651EF7A625EADD3D197E89DBBF3CEB,BB97C187B42BB4BC5B9527A2C40DF07B
BC,Female,119.25,88,100,307.25,8D5824ED0BDC1C28256FBE5F27CC6977,27CE853B22A5072E8DCA80D4575944AC
SC,Female,76.75,74.25,65.25,216.25,CA8BAE26DD663194361250A73B6FC5EB,EA27FFAB13D79539AAFAD533B0F89573
BC,Male,91,66.25,51,208.25,1670539116F33D0A5CD57DB67139F17D,8A1622470E4EA1A6C13FE3E6F216813E
BC,Male,71.75,46.75,49.75,168.25,43DFF37E058B4BD7EAC1151B51E054A6,7755FDEDB6ACFA071CFAB898C0FE11B7
BC,Female,130.25,96.25,81.25,307.75,42B1D83F209E591E6DE76382D620073B,754A7E0D14F3C94F5BB081A23EE299FC
BC,FEMALE,129.5,98.5,93.25,321.25,7C9A2768D17289EDABF06939DF4D0F7E,C2AA5157D5DF8F4D0F7B7D7FC68580CD
BC,Male,144,117,119,380,E6470498EF2195D32B552DD07D8A6A8D,7BA1C2B59658DE3F0714DFA2FD7CCB9D
SCA,FEMALE,118.25,122,105.5,345.75,BC0FC21AE6FECF2486806ECC385FDC46,B591C9EB5617BBD39057399142C0843D
BC,MALE,126,121.25,94.75,342,3F9E5C63753410E35066C161C0A180CD,EBB304F7D572B589BFEE273B3D22D002
SC,Male,122.5,112,122.5,357,07FC56C0D46D56A828A7632B518D97F6,86393C0918C943E2B605E052EDD3CB58
BC,Male,45.75,34.5,43,123.25,F5D51A1CF6151072C802A6406C06E7C8,4C9568CD54BE98311C540277B90A8A1C
BC,Female,139.5,113.5,107.25,360.25,C86570DFEC135CC76D293D403D29A0D5,860BA54B6B433293C0185E363B6FDF4C
SC,Male,151,131.25,113.75,396,BEBCBC123784A4D4ECA2A12A86E886E7,DE09F6EFC9B21E11717AF7A0D6854A93
MBC/DC,Female,130,114,92.75,336.75,CADF9AEF6BD69927F5E910EA881E40BB,F7DFC389389A5DE88B4BA41FFA861096
BC,FEMALE,152,124.25,105.5,381.75,B86B3DF09FCD5AB77AC4C4544C577148,A3A1A8FE836A3541D13C6248AE352CC8
BC,Female,114.5,117.25,108.5,340.25,F476B0C9968280F1E4E9BA360457A156,EC37F3C56A08206EF2BFABBE21A01529
BC,Male,101.75,43.5,,145.25,3C852EF776D92FBC03ABE9A1890F46BE,6FDB27EF8AC6C64C03042F52C3828DEE
BC,Male,124.5,119,127,370.5,A12D070D30A512FEF0C77CCFD68592C7,F270B8DE0C5198DD853EB1AA422A8B7E
MBC/DC,Female,137.25,116,103.5,356.75,B1F89C675F06F893901F98A14BDDB978,FE77FA0E3E0481DE16C6EE78681F056F
SC,Female,106.75,89.25,78.75,274.75,9B47D99FA089067033296B2E4CFDBC94,C48059E87A930B1D859EFB582A92FDFB
BC,Female,77,69.5,57.25,203.75,0A2697C211E88297947A8F18E0DBDD00,6BD056B3D1B385252ED6072D7CA0E1BD
BC,Female,111.25,99,114.75,325,71412A7A4502B462BFEE8FC123016322,56AA9B0EC97ECFFD737ECF169C51783E
BC,Female,115.25,110,108,333.25,E069851C1648AA998EAF9411CBB7FC71,59B7373BAFF0B0BA014624B3DCEF9D22
SC,Female,122.25,103.5,112.75,338.5,FA123509DA99A83642F0B7658A3B3649,B27878B15B676B640E1EDD909D1158F0
BC,FEMALE,120.75,93.25,97.25,311.25,61ED10ED2835955D240CC2BDD0F45FC3,89FEDB4E4716BD38DC30611599C0565C
SC,Female,130,133,130,393,C017A0EC539D638B94F96C7903CBEC98,250BC43D9341870E7AA54DAC7E93A3F9
SC,Female,48.5,39.75,35.25,123.5,EAF3062772FC11432993E9FEE656AF2C,DEFFD5DEB56F602BEEEE1B20EDAF0C15
MBC/DC,Male,120,120,107.25,347.25,FF3010B3B774CA19ACBA820E9AFB6E03,D45BDFC7A08E8A227AEE189C2A0EBC41
SC,Female,105.75,105,99.5,310.25,4CA34243239323964E48008DAEF2F972,12507E777216A56C52D2B723DD83487A
BCM,Male,127,101.75,113.75,342.5,AE36F79C4FA01EA95F547CBE3ACC42D0,16F6BE8893FDA5047AAAF0F55DFBF7DD
BC,Female,154.25,133.75,140.25,428.25,3E2C8CDC4D4E46D95FEA9622600B73B8,D1DAC559FF8A28A7C7EE3024EDBFEECD
MBC/DC,Female,108,76.75,61,245.75,854F77481735D0EEC1CA7145222DD571,EE39A407FF38FB1F020C3C6F41BEBA7A
BC,Male,93,84.25,81.25,258.5,F831F01528F660915C2AFA304F561EA1,331D5C4ED1EB201C064B2AA561674543
SC,Female,130.5,102.25,90.75,323.5,2E6EAFA46CE2248C1FA79B3D6FD4B0A2,08E6691D31DE6079DD8B66972E6A6319
MBC/DC,Female,129.5,118,102.75,350.25,49FC64A3AC65C0E43605F27EE44065F6,32BBAE501D2AC6122265F007A3BB8AD1
MBC/DC,Male,103,90.5,78.5,272,8304BC8A19B49BEA341F8F054BCC5FBF,F3446E0AF2A3CED76C0CD558583D2FA3
BC,Female,125.25,80.25,85.75,291.25,D362A114D21AC8D628C81D78CDB205D2,FB110E2C5FF575EABE0AB6FC1C384AE0
BCM,Male,128,111.5,97.75,337.25,C58C1695ED2CD925F9A3DCF658082FAF,CF6D07D287E03E650B8B0FCD9418B503
MBC/DC,Male,145.25,113,106,364.25,7773EDF2F3C72D9ACAC6886890E50520,0584861432254EC350C5849FC5E01945
BC,Female,151.75,121.25,109.5,382.5,10BAF06E2B882FC2AA37E7D9F9B93FAF,9037F594DEFCA1D7DA9CD11413D62505
BC,MALE,102.5,114.25,115.5,332.25,C06A4B4CE799A8D0CF943E07F56E6C77,550AA75D0AB9C000824E3CAE4815FBE9
