COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
BC,FEMALE,168.75,146.75,141.5,457,3479977CBF4F09F1F45305D2457B7ED2,C7CB6DE91848AEDA2C6F22DB4A5489B3
BC,Male,93.25,77,57.5,227.75,464E8AC296C02DCEAC8445151ED3A8F0,4A5A12B0934F034856B7290C97320E21
BC,Male,112.75,118.75,117.75,349.25,F7A97EA7358648E28726EE4A530D946A,441401987A2D4CF43B92F3317372C232
SC,Female,148.75,139,126,413.75,0DF6D022EB3133A45053C1BDE11F04AE,45B07BC534049433E750A026925D5BD2
SC,Male,153.25,114.25,113.75,381.25,E79BE2DF45D4C5DDF8810F26179DD93E,8893684685C3EE042F80493169DE11D0
BC,Female,47.75,68.5,53,169.25,777124A8CE88F4EEB8756F7E88893EE4,4A2872B7531A3D1A710B159645082CD5
SCA,Female,65,,,65,0ED024D9E4AC0563EC0B2D9927F297C3,232B11F220C866DF6FDD263979562EF6
SC,Female,112.75,91.25,102.75,306.75,7849EA4549D1361D779536674E043C7E,AF3DE8DD9B6565E2D1C3557DFB74B543
MBC/DC,Female,73.5,61.5,26,161,A261011676EF7B622B1D02681391EC9A,5808E851244C2BF5E6BB6EC53F25491F
OTHERS,Female,106.75,69,97.5,273.25,E2D1BE2EA2D4D369F4A24CCEBF58263D,1B88D647E73A683161FFEDE7EF556AF6
MBC/DC,Female,131.25,94,98.75,324,7124913D46316B52F4CF121A744CFD7F,7363C5AAB89A4FC63F14CB3CBA375277
BC,Male,125.75,77.5,60.25,263.5,BD8F69FF8F6F934FFB4A846A0F42D6C4,A8FE0D3851B2A4A3597F3D4AA2E0FEBA
BC,Female,138,112.5,119.5,370,6A1BF55BD63F94F4A47F5FC59BBD688F,2009588CA67C7C2671309921D024C3EC
BC,MALE,149.25,123,123,395.25,41DF9484A6C66A571139CB23C3B1274C,0A7C78956B9A53485E9ADE7BA47F48F3
MBC/DC,Male,120.5,92,112,324.5,3E2591F0E8435F0A28CAAF513B9FB0E7,AE7516E3D23C43CDC9B6854E5A482B56
BC,Female,131.75,105.5,113.25,350.5,221A33CD1A0F20AF5EB8D88ED7501B98,2C0AB514D214A85E10BFF5090B92A380
BC,Female,98.5,98.5,87.25,284.25,1FA1CBBA30C46123B941EB220B2C39B7,9AD9367A3670447500369F1478022E87
BC,Female,93.75,83.25,89.5,266.5,674BD3B62AB84CFA60CC0C47FD36939E,F589425F894A3730C2CDE19273092AD5
MBC/DC,Male,98.75,92.5,97.25,288.5,CAE25CB831F61059E906044E97119E22,E5A83F6835682C81990994DE6CEA019C
BC,Female,86.5,67.25,69,222.75,7A77E219A883D98051CEB82F072F5A9E,327357B5A192EF1EA665E0F222B5D7B2
BC,Female,119.75,95.25,88,303,8E5D3908BC8FF75E1AE9F507C6DCBB12,101A50A9166D2A1F1CAD8169DA84C567
MBC/DC,Female,137.25,130.75,127.75,395.75,7306CB23B717086DF9F3F76CC0EB0474,8E8607512C6E112906FE741D7143FB39
SC,Female,119.25,73,76,268.25,377A7436770114078DACC879E2A9D61E,D5FC9D809B3048E6502027AED0355AFA
BC,Male,68.5,43.25,46.25,158,67CC76563FA45F3AAB9C479F083661C4,09924F6167C8C28FDA9CEA36D1C1D269
BC,Female,160.25,127.75,143,431,01545A2C72263EB03A079AC8F0A161F1,51B841A81BA35A591A3CF32AEAB9AD2C
