NAME OF THE POST ,RANK(OVER ALL),MARKS ,GENDER,DATE OF BIRTH,RELIGION,COMMUNAL CATEGORY,DISABILITY,EXSERVICEMEN,DW,PSTM,SSLC YOP,HSC YOP,DIPLOMA YOP,DIPLOMA MAJOR,UG DEG YOP,UG DEG,UG MAJOR,UGL DEGEE,UGL MAJOR,BED/BLISC YOP,PG DEGREE YOP,PG DEGREE,PG MAJOR,MPHIL YOP,MPHIL MAJOR,PHD YOP,PHD MAJOR,TWT,TWE,SHT,SHE,EXPERIENCE,PREFERNTIAL QUALIFICATION ,QUALIFICATION PASSED IN TAMIL,EXAM CENTER,EXAM VENUE DETAILS ,DISTRICT AND STATE OF PERMANENT ADDRESS,DISTRICT AND STATE OF CORRESPONDENCE ADDRESS,COMMUNAL RANK,DISABILITY RANK,EXSERVICEMEN RANK ,DW RANK,SELECTION STATUS ,SELECTION CATEGORY,DEPARTMENT ALLOTTED,REGNO,APPLICATION_NO
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,66,515.25,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,F7FF2E99169D1028A40FE9559C0216BA,665BBD2D576E9B7DD0858FC442285D5C
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,67,515,FEMALE,1987,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2002,2004,NULL,NULL,2008,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"THE CHINTADRIPET HIGHER. SECONDARY SCHOOL,NO.2-3 DEPUTY MAYOR KABALAMURTHY ROAD,CHINTADRIPET CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 1/1,NULL,02FC3E1663D6518ECB946CF17EF9B500,4F7D2AB6C2376A6DE80D50FA6A7922D0
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,68,515,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"JAIGOPAL GARODIA MATRIC HIGHER SECONDARY SCHOOL,7TH STREET SRP COLONY,PERAVALLUR CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/6,NULL,CCABCFC053B9D38C5B58EBAA653D248E,85E9893E0045E824DD571DFD5DA4B917
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,69,515,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVT HIGHER SECONDARY SCHOOL,P BLOCK M M D A COLONY,ARUMBAKKAM CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,B45B3E34BA940276A902E8C7C098418D,2AAA9319F686CD9E80312C771CC4DC28
THE POST OF DISTRICT EMPLOYMENT OFFICER IN THE TAMIL NADU GENERAL SERVICE,70,514.75,FEMALE,1987,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2002,2004,NULL,NULL,2008,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/2,NULL,4D84EC8B534195B68B1C0ECFA67A8748,749DA2B8D50AFCE5A52E4E3454DED660
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,71,514.25,FEMALE,1991,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,MASKED FOR PRIVACY PROTECTION,Information Technology Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2014,M.E.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"K.R.C.A.R.C. GIRLS HIGHER SECONDARY SCHOOL,26-38 SAIVA MUTHIAH STREET,MUTHIALPET CHENNAI","Nagapattinam,Tamil Nadu","Nagapattinam,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 1/2,NULL,0DA175B339227E881C9D87D28056525C,E74B506D731BE28C594A1AB61D98F04D
THE POST OF DISTRICT EMPLOYMENT OFFICER IN THE TAMIL NADU GENERAL SERVICE,72,514,FEMALE,1988,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2003,2005,NULL,NULL,2010,B.Sc.,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2012,NULL,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Kanniyakumari,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/2,NULL,1DD633D8C70A9585E1EDAC13F64F8B64,A762AC227B812DE41AF7D31C026EBB8A
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,73,514,MALE,1993,Muslim,BCM,NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"WPA SOUNDARAPANDIAN HIGHER SECONDARY SCHOOL,NMK STREET,AYANAVARAM CHENNAI","Krishnagiri,Tamil Nadu","Krishnagiri,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BCM_G- 1/2,NULL,61BE2D3ADEAA51FDB04D27D203F0004E,6EE4CEC2AB4A31CE1C88BB109F943364
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,74,513.75,MALE,1990,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.E.,MECHANICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Coimbatore,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/13,NULL,046B756D391E4F38B5C066C00FADAEF1,ECA089C800AE71BC6B890B005901B48D
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,75,513.75,FEMALE,1991,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,B.TECH.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 2/6,NULL,008B14E584C639B575059CF1FF0788D5,4D8A0C15287A82510B33B855C281C86F
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,76,513.5,FEMALE,1995,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,INSTRUMENTATION AND CONTROL Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"KESARI HIGHER SECONDARY SCHOOL,17 THIRU.VI.KA 3RD STREET,MYLAPORE CHENNAI","Madurai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 3/6,NULL,90E60C512B3AD99DE9EDCE6AD9A5CD6C,A725AF05832F2676B2DFF4685236ACC9
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,77,512.75,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,PUDUR,ASHOK NAGAR CHENNAI","Karur,Tamil Nadu","Karur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 4/6,NULL,B121BF215B9C4B783319B5C6C903F920,D5BF10843B1BC2D9866C27025EF40EE0
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,78,512.75,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"M A K MATRICULATION HIGHER SECONDARY SCHOOL,125-A KABILAR STREETTHIRU NAGAR JAFFERKHAN PET,ASHOK NAGAR CHENNAI","Madurai,Tamil Nadu","Madurai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 5/6,NULL,F43E2895FF6ACFFBB732E3FD29307E20,80A1ADC06D015C2CCC08EFBF7F2B2A66
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,79,512.5,MALE,1987,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2002,2004,NULL,NULL,2008,B.D.S.,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2015,M.Sc.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL.,53 MARKET STREET,PERAMBUR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/13,NULL,7363CDAA0E40204D933F483AE494AEF4,0D23AF20350B542FB9E77C0F0A7D835B
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,80,512.5,MALE,1990,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL,31 RAJAJI STREET SCHOOL ROAD,NUNGAMBAKKAM CHENNAI","Dharmapuri,Tamil Nadu","Dharmapuri,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 3/13,NULL,FCE1205112AEBDE1FC78189C90EFCED3,27CA3AE7B7A5126AFBC1C69900CA8B6C
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,81,512.5,FEMALE,1992,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"BENTINCK HIGHER SECONDARY SCHOOL FOR GIRLS,46 47 JERAMIAH ROAD,VEPERY CHENNAI","Villupuram,Tamil Nadu","Villupuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 2/2,NULL,3FDC4FF6556F299DB61D4FC9ECCAEDEF,B89D73A961D5F6DBC45AB6EA854671DD
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,82,512.25,FEMALE,1988,Muslim,BCM,NULL,NULL,NULL,NULL,2003,2005,NULL,NULL,2009,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BCM_G- 1/1,NULL,1CE74FD4561569DE606AF8649161D547,68E45EB16FB0BE46ECC8F8A6D4D305F9
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,83,512.25,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2014,B.Sc.,MATHEMATICS,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SRM NIGHTINGALE MATRIC HR SEC SCHOOL,68 THAMBIAH ROAD,WEST MAMBALAM CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 6/6,NULL,A337F81A56E09408CB50A74702EA4AA0,93D360BA1558F7F4463BCD6828B3B7F6
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,84,512,FEMALE,1987,Hindu,SC,NULL,NULL,NULL,NULL,2003,2005,NULL,NULL,2009,B.TECH.,BIOTECHNOLOGY,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2011,M.TECH.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"LADY WILLINGDON HIGHER SECONDARY SCHOOL,NO.1 DR. BESANT ROA TRIPLICANE,CHENNAI","Tiruchirapalli,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G- 1/1,NULL,8B0C24A85FB025D668037CBF2EA575C4,6E9D6250F849708686F4FC5AD1D89055
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,85,512,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVAANS MATRIC HIGHER SECONDARY SCHOOL,18 MARIAMMAN KOIL STREET,THARAMANI CHENNAI","Ramanathapuram,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 4/13,NULL,AAF8B62ECF5EF7C0A06DFED15428FCA0,E6E0BF41B7535D4E50E98DF46BE8B8BF
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,86,511.75,FEMALE,1995,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,PUDUR,ASHOK NAGAR CHENNAI","Kanniyakumari,Tamil Nadu","Kanniyakumari,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 5/13,NULL,6D2AC9A34FBA112FAF8CA84C815BF24F,C1662BC98316BACC02D1AA752BE87E89
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,87,510.5,MALE,1996,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,MECHANICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVERWIN MATRIC HIGHER SECONDARY SCHOOL,12-3 S J AVENUE RED HILLS ROAD,KOLATHUR CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 2/2,NULL,3AD497A6322264044637A362CF08BDFC,F73D1F712E48E85E2BC83D1E3D8F782E
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,88,510.25,FEMALE,1989,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.TECH.,BIOTECHNOLOGY,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,1ST MAIN ROAD,NANDHANAM CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 6/13,NULL,B40C3F75B8AD41896E75F0E08F895943,8B5DF5780914D7013DFB3944293D52FB
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,89,510,MALE,1992,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2014,B.E.,MECHANICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2016,M.E.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 1/10,NULL,5968B366D7FED2C6745F3822EAF0D7D9,2975E6EB2A645196E3FC0C77DB4CBCF0
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,90,510,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.Sc.,agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLAL S.I ALAGARSAMY CHETTIAR HIGHER SECONDARY SCHOOL,NO.2&3 ADAM SAHIB STREET,ROYAPURAM CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 7/13,NULL,C320D225C770423B13E4438C224DBECA,80B5BED162A71A710344083F14DDA6DC
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,91,509.75,FEMALE,1992,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVAANS MATRIC HIGHER SECONDARY SCHOOL,18 MARIAMMAN KOIL STREET,THARAMANI CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_W- 1/1,NULL,4FF20A006991305596A4A4B8EC7158FE,30419E778991EF29FDF3F8BA747EF6AF
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,92,509.75,FEMALE,1993,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2016,B.E.,Agri. and irrigation Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"DONBOSCO MATRICULATION HIGHER SECONDARY SCHOOL,CHURCH ROAD SRINIVASA NAGAR,KOLATHUR CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 2/10,NULL,9025D81C11333E41A173932167C76E8F,0554B53CE44EF2E7A01AB8E1DBF83AF5
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,93,509.5,MALE,1991,Hindu,BC(OBCM),NULL,NULL,NULL,PSTM,2006,2008,NULL,NULL,2017,B.A.,TAMIL,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Ramanathapuram,Tamil Nadu",MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,SELECTED,GT_G_PSTM- 1/1,NULL,2669916DCF815AFC4421DC3F24A5A346,DE5E4E97878FA7F66B17D573EF8AEF3E
THE POST OF DISTRICT EMPLOYMENT OFFICER IN THE TAMIL NADU GENERAL SERVICE,94,509.5,FEMALE,1991,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CSI JESSIE MOSES MATRICULATION HR SEC SCHOOL,37-Z183 5TH AVENUE BLUE STAR,ANNANAGAR CHENNAI","Kanniyakumari,Tamil Nadu","Kanniyakumari,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/1,NULL,850C07A1F1FFF095555264F12F702B62,8C3B5B05FB36E5DAF48D503A44535D1C
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,95,509.5,MALE,1991,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL,2A SCHOOL ROAD M H ROAD,PERAMBUR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 3/10,NULL,FAE370F1729C2F5E5902AB1DEF2B8CDF,0E557E572A893F44C824F6ABD8204B1A
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,98,509,FEMALE,1990,Hindu,SC,NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,7-20 SCHOOL STREET,KOYAMBEDU CHENNAI","Kancheepuram,Tamil Nadu","Kancheepuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G- 1/2,NULL,DD23CCE8FFBEAB54BD556E6C2034A814,A56BB3715B200BA9747A13DDF1BA5234
